export_value,balance_value
0,-3754
0,-4654
3466,-22760
5928,-1398
39,-33218
17,-8267
3761,-45329
0,-121763
0,-2811
0,-9598
18942,-3853325
31298,230740
20144,2633
509,-21857
12580,-32174
3873,-505310
0,-7490
0,-1534
0,-176
0,-32352
0,-153180
0,-77272
0,-6431
2278,-235581
242,-57975
0,-17656
13105,-326695
77,-298115
64187,-342922
612,7937
28,-183696
37909,-239972
1419,-53141
0,-17854
0,-1340534
0,-22041
0,-4749
117,-7569
3429,-45362
1926,9632
0,-73618
4737,-6860
374248,-1553772
37607,-13260
0,-10884
0,-3830
0,-8
0,-37
0,-3170
0,6
0,-46
0,-24
0,-7358
452,-20306
0,-2354
0,-1221
0,600
